15	f˸24ساعت§n-12634	f˸مثال	f˸"در شبانه روز باید6 بار قطره ها را در چشمهایت به فاصله ی 4 ساعت بچکانید"
178	f˸آب سفید§n-19372	f˸تعریف	f˸"بیماری ناشی از تارشدن عدسی یا قرنیه‌ی چشم که مانع از عبور آزادانه نور به شبکیه می‌شود و بینایی را مختل می‌کند"
99829	f˸وضع حمل§n-12245	f˸مرتبط با	f˸بچه§n-13349	
99831	f˸وضع حمل§n-12245	f˸تعریف	f˸"فرایند خروج بچه از شکم مادر"	
99992	f˸وعده§n-11535	f˸مثال	f˸"قول او به بچه‌ها برایش گران تمام شد"	
100577	f˸پا شدن§v-19349	f˸مثال	f˸"بچه از خواب بلند شد."	
101041	f˸پارک§n-14789	f˸مثال	f˸"پارک را برای بازی کردن بچه آماده نمود"	
101099	f˸پازاج§n-16600	f˸تعریف	f˸"کسی که زن حامله را در به دنیا آوردن بچه یاری می کند"	
101105	f˸پازل§n-18211	f˸مثال	f˸"در مهد کودک، یکی از تمرینات فکری بچه‌ها چیدن پازل است"	
101159	f˸پاستیل§n-18289	f˸مثال	f˸"بچه ها همگی پاستیلهای طرح‌دار را دوست دارند"	
101302	f˸پاشیدن§v-21638	f˸مثال	f˸"بچه ها اسباب بازیهار و تو تمام اتاق پاشیدند."	
101336	f˸پالان‌دوز§n-18319	f˸مثال	f˸"بچه‌های نسل جدید نمی‌دانند پالان دوز چه کاری انجام می‌دهد"	
101507	f˸پاورچین§r-16745	f˸مثال	f˸"پاورچین از اتاق بیرون رفتم تا بچه بیدار نشود"	
101854	f˸پایکوبی کردن§v-18948	f˸مثال	f˸"بچه ها با شادمانی جست و خیز و پایکوبی می کردند."	
102101	f˸پدر و مادر§n-12043	f˸متضاد	f˸بچه§n-13350	
102104	f˸پدر و مادر§n-12043	f˸تعریف	f˸"کسانی که بچه رابه دنیا آورده و از او مراقبت می نمایند"	
102113	f˸پدر§n-14733	f˸مثال	f˸"پدر بچه گوزنها پس از تولد آنها به یاری مادرشان می شتابد"	
102114	f˸پدر§n-14733	f˸تعریف	f˸"جنس نر جانوری که دارای بچه است"	
102616	f˸پرحرفی§n-19541	f˸مثال	f˸"این بچه با بلبل زبانی هایش سر همه را گرم کرده است."	
102641	f˸پرخوری کردن§v-26044	f˸مثال	f˸"بچه ها پرخوری کرده بودند و دل درد داشتند."	
103029	f˸پرنسس§n-18818	f˸ISA	f˸بچه§n-13350	
103070	f˸پرهیز§n-10701	f˸مثال	f˸"امساک در پذیرش خواسته‌های بچه"	
103166	f˸پروانه‌وار§a-22190	f˸مثال	f˸"بچه ها پروانه وار دور مادرشان می گشتند و به او کمک می کردند"	
103223	f˸پرورش یافتن§v-21462	f˸مثال	f˸"برخی بچه ها لوس بار می آیند."	
103545	f˸پستاندار§n-12708	f˸تعریف	f˸"تکامل یافته ترین گروه مهره داران که خونگرم و بچه زا هستند و به نوزادشان شیر می دهند و بدنشان از پشم یا مو پوشیده شده است"	
103552	f˸پستانک§n-24337	f˸مثال	f˸"او پستانک را از دهان بچه بیرون آورد"	
103599	f˸پسر بچه#n1	f˸عضو هم‌نشیم	f˸فرزند ذکور§n-12026	
103623	f˸پسر§n-13367	f˸متضاد	f˸دختر بچه§n-16041	
103857	f˸پشت‌سرهم§r-20930	f˸مثال	f˸"بچه ها پشت سرهم وارد کلاس شدند و سرجایشان نشستند"	
103863	f˸پشت‌گردنی§n-18878	f˸مثال	f˸"معلم به این بچه پس‌گردنی زد"	
104692	f˸پوشانیدن§v-8167	f˸مثال	f˸"پالتوی بچه را پوشاندم و آماده رفتن شدم."	
104735	f˸پوشک§n-18670	f˸مرتبط با	f˸بچه§n-13349	
104737	f˸پوشک§n-18670	f˸مثال	f˸"بچه را پوشک کن تا لباسش را خیس نکند."	
106578	f˸چرخ و فلک§n-26200	f˸مثال	f˸"بچه‌ها چرخ و فلک سوار شدند"	
106844	f˸چشم زخم§n-22593	f˸مثال	f˸"فکر می‌کرد بچه‌اش چشم زخم خورده است"	
106961	f˸چشیدن§v-8217	f˸مثال	f˸"بعد بچه ها یکی یکی آمدند و این کار را تجربه کردند."	
107045	f˸چلیپاییان§n-19864	f˸مثال	f˸"تربچه از تیره چلیپاییان است."	
107069	f˸چمنزار§n-17354	f˸مثال	f˸"بچه ها در پارک نباید توی چمن بازی کنید."	
107390	f˸چوب§n-12871	f˸مثال	f˸"بچه چوب بستنی اش را توی سطل زباله انداخت"	
109845	f˸کتک‌خورده§a-18566	f˸مثال	f˸"دلم به حال پسربچه کتک خورده سوخت"	
110277	f˸کره§n-10812	f˸تعریف	f˸"بچه ی چهارپایان به ویژه اسب و الاغ"	
112674	f˸کودک وار#r1	f˸عضو هم‌نشیم	f˸بچه گانه§r-15414	
112675	f˸کودک#n1	f˸عضو هم‌نشیم	f˸بچه§n-13349	
112677	f˸کودک§n-11966	f˸ISA	f˸بچه§n-13350	
112679	f˸کودک§n-11966	f˸تعریف	f˸"بچه ی خیلی کوچک که نمی تواند راه برود و صحبت کند"	
112680	f˸کودکانه#r1	f˸عضو هم‌نشیم	f˸بچه گانه§r-15414	
112685	f˸کودکیار§n-22081	f˸مرتبط با	f˸بچه§n-13349	
112687	f˸کودکیار§n-22081	f˸مثال	f˸"به جای اینکه بچه ها را به مهمکودک بفرستد، یک کودیار در خانه استخدام کرده بود"	
112690	f˸کودکیاری§n-22080	f˸مرتبط با	f˸بچه§n-13349	
112696	f˸کودک‌وار#r1	f˸عضو هم‌نشیم	f˸بچه گانه§r-15414	
112704	f˸کورتاژ کردن§v-7560	f˸تعریف	f˸"خارج کردن بچه از رحم قبل از هفته بیستم حاملگی بر اثر عواملی مثل بیماری مادر یا جنین."	
113298	f˸کیسه§n-20544	f˸مثال	f˸"به خاطر چند کیست در رحمش فعلاً نمی تواند بچه دار شود"	
113388	f˸کیلوگرم§n-22954	f˸مثال	f˸"وزن بچه 4 کیلوگرم شده"	
114377	f˸گرسنه§a-376	f˸مثال	f˸"بچه گشنه بود و گریه می کرد"	
114424	f˸گرفتار کردن§v-8969	f˸مثال	f˸"این بچه همه ما رو اسیر کرده."	
114676	f˸گره‌دار§a-18405	f˸مثال	f˸"طناب گره دار را از درخت آویزان کرد و برای بچه ها تاب درست کرد"	
114700	f˸گروه بندی§n-20645	f˸مثال	f˸"بچه ها به دو گروه سه نفره گروه بندی شدند"	
114842	f˸گرگ§n-19214	f˸مثال	f˸"گرگ شدن در بازی گرگم‌به‌هوا خواست هیچ بچه‌ای نیست"	
114912	f˸گریه§n-15717	f˸مثال	f˸"گریه کار بچه هاست"	
115519	f˸گله§n-11745	f˸مثال	f˸"گله ای از بچه‌ها به داخل اتوبوس ریختند"	
115604	f˸گلی کردن§v-15597	f˸مثال	f˸"بچه ها در حال بازی در باغ لباسهایشان را گلی کردند"	
116100	f˸گوساله§n-10786	f˸تعریف	f˸"بچه ی گاو تا یک سالگی"	
116902	f˸یادگیری§n-13001	f˸مثال	f˸"فراگیری زبان توسط بچه ها بسیار سریع تر از افراد مسن است"	
117104	f˸یتیم§a-1491	f˸مثال	f˸"بچه یتیم را به پرورشگاه بردند"	
117107	f˸یتیم§n-18792	f˸ISA	f˸بچه§n-13349	
117330	f˸یمن§n-19696	f˸مثال	f˸"این بچه با تولدش خوش یمنی آورد و تمام مشکلات خانواده حل شد."	
117374	f˸یواش§r-15224	f˸مثال	f˸"آرام صحبت کن، بچه در اتاق خوابیده است"	
117696	f˸یکه‌زا§a-20938	f˸تعریف	f˸"ویژگی زنی که یک بچه آورده و عقیم شده باشد"	
117711	f˸یکی یک دانه§a-1495	f˸مثال	f˸"بچه یکی یک دانه آنها خیلی لوس است"	
1651	f˸آزاد کردن§v-7836	f˸مثال	f˸"همه کبوترهایش را آزاد کرد که بروند."	
35729	f˸خاشاک§n-20498	f˸مثال	f˸"کبوتر با مشتی خاشاک و پر لانه ساخته بود"	
36731	f˸خرامیدن§v-18951	f˸مثال	f˸"گنجشک ها و کبوترهای چاهی را که آزادانه روی چمن می خرامیدند تماشا می کرد."	
44275	f˸دودو§n-24494	f˸مثال	f˸"دودو که وابسته به فاخته و کبوتریان بود، در حدود یک متر ارتفاع و وزنی نزدیک به 20 کیلوگرم داشت"	
49438	f˸رودخانه شهرچای§n-24160	f˸مثال	f˸"شهرچایی از کوه کان کبوتر به ارتفاع 3271 متر از کوه‌های کردستان سرچشمه می‌‏گیرد"	
73057	f˸فاخته§n-16075	f˸تعریف	f˸"نوعی کبوتر اروپایی با رگه های سفید روی گردن و بال ها"	
77754	f˸قمری§n-25607	f˸تعریف	f˸"جنسی از پرندگان راسته‌ی کبوتر شکلان، با جثه‌ی نسبتاً لاغر و سر کوچک و اگردن کشیده، نوک باریک با پرواز تند ومستقیم وحرکات بال آن با تکانهای شدید همراه است"	
97850	f˸هوا کردن§v-7703	f˸مثال	f˸"کبوترهایم را بعدازظهرها پرواز می دهم."	
99672	f˸وسیله ارتباطی§n-15172	f˸مثال	f˸"کبوتر یک وسیله ارتباطی سریع در گذشته بوده است"	
103015	f˸پرنده‌باز§a-18779	f˸ISA	f˸کبوترباز§a-17439	
109620	f˸کبوتر جنگلی#n1	f˸عضو هم‌نشیم	f˸کبوتر جنگلی§n-24407	
109620	f˸کبوتر جنگلی#n1	f˸عضو هم‌نشیم	f˸کبوتر جنگلی§n-24407	
109621	f˸کبوتر جنگلی§n-24407	f˸مرتبط با	f˸جنگلی§a-22	
109622	f˸کبوتر جنگلی§n-24407	f˸مرتبط با	f˸درنده§a-613	
109623	f˸کبوتر جنگلی§n-24407	f˸ISA	f˸طیور§n-12604	
109624	f˸کبوتر جنگلی§n-24407	f˸مرتبط با	f˸تخم گذار§a-989	
109625	f˸کبوتر جنگلی§n-24407	f˸مثال	f˸"کبوتر جنگلی کمتر اهلی و دست آموز می شود"	
109625	f˸کبوتر جنگلی§n-24407	f˸مثال	f˸"کبوتر جنگلی کمتر اهلی و دست آموز می شود"	
109626	f˸کبوتر جنگلی§n-24407	f˸تعریف	f˸"کبوتری کوچکتر از کبوتر چاهی با دم کوتاه و گردن شرابی رنگ، با جلای سبز و ارغوانی که در هر طرف یک لکه‌ی سفید دارد و روی درختها، پرچینها و لانه‌های متروک آشیانه می‌سازد"	
109626	f˸کبوتر جنگلی§n-24407	f˸تعریف	f˸"کبوتری کوچکتر از کبوتر چاهی با دم کوتاه و گردن شرابی رنگ، با جلای سبز و ارغوانی که در هر طرف یک لکه‌ی سفید دارد و روی درختها، پرچینها و لانه‌های متروک آشیانه می‌سازد"	
109626	f˸کبوتر جنگلی§n-24407	f˸تعریف	f˸"کبوتری کوچکتر از کبوتر چاهی با دم کوتاه و گردن شرابی رنگ، با جلای سبز و ارغوانی که در هر طرف یک لکه‌ی سفید دارد و روی درختها، پرچینها و لانه‌های متروک آشیانه می‌سازد"	
109627	f˸کبوتر خان#n1	f˸عضو هم‌نشیم	f˸کبوتر خوان§n-24408	
109627	f˸کبوتر خان#n1	f˸عضو هم‌نشیم	f˸کبوتر خوان§n-24408	
109628	f˸کبوتر خوان#n1	f˸عضو هم‌نشیم	f˸کبوتر خوان§n-24408	
109628	f˸کبوتر خوان#n1	f˸عضو هم‌نشیم	f˸کبوتر خوان§n-24408	
109629	f˸کبوتر خوان§n-24408	f˸مرتبط با	f˸کبوتر§n-24403	
109629	f˸کبوتر خوان§n-24408	f˸مرتبط با	f˸کبوتر§n-24403	
109630	f˸کبوتر خوان§n-24408	f˸مرتبط با	f˸آشیانه کردن§v-7842	
109631	f˸کبوتر خوان§n-24408	f˸ISA	f˸محل امن§n-11876	
109632	f˸کبوتر خوان§n-24408	f˸ISA	f˸اتاق§n-12857	
109633	f˸کبوتر خوان§n-24408	f˸مثال	f˸"کودهای کبوترانی که در کبوتر خوان جمع می شد برای کشاورزی کاربرد دارد"	
109633	f˸کبوتر خوان§n-24408	f˸مثال	f˸"کودهای کبوترانی که در کبوتر خوان جمع می شد برای کشاورزی کاربرد دارد"	
109633	f˸کبوتر خوان§n-24408	f˸مثال	f˸"کودهای کبوترانی که در کبوتر خوان جمع می شد برای کشاورزی کاربرد دارد"	
109634	f˸کبوتر خوان§n-24408	f˸تعریف	f˸"کبوتر یا برجی که برای کبوتران می سازند تا در آن لانه بسازند"	
109634	f˸کبوتر خوان§n-24408	f˸تعریف	f˸"کبوتر یا برجی که برای کبوتران می سازند تا در آن لانه بسازند"	
109634	f˸کبوتر خوان§n-24408	f˸تعریف	f˸"کبوتر یا برجی که برای کبوتران می سازند تا در آن لانه بسازند"	
109635	f˸کبوتر قاصد#n1	f˸عضو هم‌نشیم	f˸کبوتر پیک§n-24405	
109635	f˸کبوتر قاصد#n1	f˸عضو هم‌نشیم	f˸کبوتر پیک§n-24405	
109636	f˸کبوتر نامه بر#n1	f˸عضو هم‌نشیم	f˸کبوتر پیک§n-24405	
109636	f˸کبوتر نامه بر#n1	f˸عضو هم‌نشیم	f˸کبوتر پیک§n-24405	
109637	f˸کبوتر پیک#n1	f˸عضو هم‌نشیم	f˸کبوتر پیک§n-24405	
109637	f˸کبوتر پیک#n1	f˸عضو هم‌نشیم	f˸کبوتر پیک§n-24405	
109638	f˸کبوتر پیک§n-24405	f˸مرتبط با	f˸نامه رسان§a-347	
109639	f˸کبوتر پیک§n-24405	f˸مرتبط با	f˸پیک§n-16522	
109640	f˸کبوتر پیک§n-24405	f˸مرتبط با	f˸اهلی§a-614	
109641	f˸کبوتر پیک§n-24405	f˸ISA	f˸طیور§n-12604	
109642	f˸کبوتر پیک§n-24405	f˸مثال	f˸"نامه ها در جنگ جهانی اول توسط کبوترهای ارتش جا به جا می شوند"	
109642	f˸کبوتر پیک§n-24405	f˸مثال	f˸"نامه ها در جنگ جهانی اول توسط کبوترهای ارتش جا به جا می شوند"	
109643	f˸کبوتر پیک§n-24405	f˸تعریف	f˸"کبوتر دست آموزی که راه خانه‌اش را می شناسد و در گذشته از ان برای رساندن نامه و پیام استفاده می‌کردند"	
109643	f˸کبوتر پیک§n-24405	f˸تعریف	f˸"کبوتر دست آموزی که راه خانه‌اش را می شناسد و در گذشته از ان برای رساندن نامه و پیام استفاده می‌کردند"	
109644	f˸کبوتر#n1	f˸عضو هم‌نشیم	f˸کبوتر§n-24403	
109644	f˸کبوتر#n1	f˸عضو هم‌نشیم	f˸کبوتر§n-24403	
109645	f˸کبوتر#n2	f˸عضو هم‌نشیم	f˸حمامه§n-24404	
109646	f˸کبوتر§n-24403	f˸مرتبط با	f˸تخم گذار§a-989	
109647	f˸کبوتر§n-24403	f˸مرتبط با	f˸اهلی§a-614	
109648	f˸کبوتر§n-24403	f˸ISA	f˸طیور§n-12604	
109649	f˸کبوتر§n-24403	f˸مثال	f˸"نژادهای کبوتر بسیار متنوع بوده ودر سراسر جهان پراکنده‌است"	
109649	f˸کبوتر§n-24403	f˸مثال	f˸"نژادهای کبوتر بسیار متنوع بوده ودر سراسر جهان پراکنده‌است"	
109650	f˸کبوتر§n-24403	f˸تعریف	f˸"تیره‌ای از پرندگان راسته‌ی کبوتر شکلان که بدن گوشتی، سر نسبتاً کوچک، گردن کوتاه، نوک شاخی شکل و پرواز سریع و زندگی گروهی دارد"	
109650	f˸کبوتر§n-24403	f˸تعریف	f˸"تیره‌ای از پرندگان راسته‌ی کبوتر شکلان که بدن گوشتی، سر نسبتاً کوچک، گردن کوتاه، نوک شاخی شکل و پرواز سریع و زندگی گروهی دارد"	
109651	f˸کبوترباز#a1	f˸عضو هم‌نشیم	f˸کبوترباز§a-17439	
109651	f˸کبوترباز#a1	f˸عضو هم‌نشیم	f˸کبوترباز§a-17439	
109652	f˸کبوترباز§a-17439	f˸مرتبط با	f˸پرنده§n-13851	
109653	f˸کبوترباز§a-17439	f˸مثال	f˸"جوان کفترباز پرندگانش را در پشت بام نگه می داشت"	
109654	f˸کبوترباز§a-17439	f˸تعریف	f˸"ویژگی آن که پرنده به ویژه کبوتر می پراند"	
109654	f˸کبوترباز§a-17439	f˸تعریف	f˸"ویژگی آن که پرنده به ویژه کبوتر می پراند"	
111194	f˸کفترباز#a1	f˸عضو هم‌نشیم	f˸کبوترباز§a-17439	
111195	f˸کفترپران#a1	f˸عضو هم‌نشیم	f˸کبوترباز§a-17439	
113140	f˸کوکر§n-19568	f˸تعریف	f˸"تیره‌ای از پرندگان دانه‌خوار از راسته‌ی کبوتر شکلان که شبیه کبک کوچک است اما با پروازی شبیه کبوتر، دارای بالها و دم دراز نوک تیز با شاهپرهای دراز، پاهای کوتاه پردار و انگشتان لخت"	
113140	f˸کوکر§n-19568	f˸تعریف	f˸"تیره‌ای از پرندگان دانه‌خوار از راسته‌ی کبوتر شکلان که شبیه کبک کوچک است اما با پروازی شبیه کبوتر، دارای بالها و دم دراز نوک تیز با شاهپرهای دراز، پاهای کوتاه پردار و انگشتان لخت"	
117095	f˸یاکریم§n-16948	f˸تعریف	f˸"پرنده ای شبیه به کبوتر کوچک است که که در مناطق گرمسیری زندگی می کند. دم بلند و جثه لاغری نسبت به دیگر کبوترسانان دارد"	
117095	f˸یاکریم§n-16948	f˸تعریف	f˸"پرنده ای شبیه به کبوتر کوچک است که که در مناطق گرمسیری زندگی می کند. دم بلند و جثه لاغری نسبت به دیگر کبوترسانان دارد"	
472	f˸آبدزدک§n-25409	f˸تعریف	f˸"تلمبه کوچک استوانه ای از یک ماده شفاف که در یک سرش سوزن توخالی قرار دارد و برای تزریق دارو به بدن جاندار یا کشیدن مایعات از آن به کار می رود"	
1094	f˸آداک§n-11915	f˸تعریف	f˸"قطعه ای از زمین ( کوچکتر از قاره) که دورتادور آن را آب فراگرفته است"	
1537	f˸آرمادیلو§n-23386	f˸مثال	f˸"فاتحان اسپانیایی قارهٔ آمریکا این جانور را آرمادیلو نامیدند که به اسپانیایی به معنی "زره‌دار کوچک" است"	
1538	f˸آرمادیلو§n-23386	f˸تعریف	f˸"پستاندار کوچک همه‌چیز خوار بومی آمریکا، از تیره‌ی جوشنداران با سر و بدن پوشیده از زره استخوانی و دم مرکب از حلقه‌های استخوانی که غذایش حشرات است"	
1622	f˸آریزونا§n-20190	f˸مثال	f˸"نام ایالت آریزونا از زبان بومیان منطقه گرفته شده و بمعنای «چشمهٔ کوچک» می‌باشد"	
1772	f˸آزرده شدن§v-9581	f˸ISA	f˸کوچک شدن§v-7547	
2406	f˸آفتابه‌دزد§a-17363	f˸تعریف	f˸"ویژگی آن که قالپاق و لوازم بیرونی اتومبیل می دزدد یا به دزدیدن چیزهای کوچک می پردازد"	
2580	f˸آلبالو§n-20163	f˸تعریف	f˸"میوه ی درخت آلبالو که کروی کوچک، آبدار و سرخ ، ترش مزه و خوراکی است"	
3058	f˸آمپول§n-22999	f˸تعریف	f˸"شیشه کوچک که در آن محلول تزریق نگهداری می شود."	
3256	f˸آندورا§n-23701	f˸تعریف	f˸"آندورا کشور کوچک و مستقلی است که درکوه‌های پیرنه بین دو کشور فرانسه و اسپانیا قرار دارد"	
3462	f˸آهوی ختن§n-19220	f˸تعریف	f˸"آهوی کوچک بلندیهای سیبری، ساخالین، کره و هیمالیا که دارای مویی زبر و قهوه‌ای است و از ناف آن مشک می‌گیرند"	
3610	f˸آویشن§n-20787	f˸تعریف	f˸"گیاه علفی خودرو از تیره نعناعیان، با برگهای بیضی در پایین گوشه دار، پرچم های کوچک و گلهای سفید، گلی یا ارغوانی، که ساقه و برگ آن به عنوان سبزی مصرف می شود"	
3897	f˸آیین§n-10681	f˸مثال	f˸"قانون این است که کوچکترها به دیدن بزرگترها می روند"	
4285	f˸اتاقک§n-20239	f˸تعریف	f˸"اتاق بسیار کوچک"	
4418	f˸اتم§n-12530	f˸تعریف	f˸"کوچکترین ذره ی سازنده ی هر عنصر شیمیایی که همه ی خواص آن عنصر را داشته باشد"	
4731	f˸اجاره کردن§v-7863	f˸مثال	f˸"خانه کوچکی در پایین شهر اجاره کردم."	
4948	f˸احتراق§n-19078	f˸مثال	f˸"بر اثر تحریق کوچکی که رعد و برق ایجاد کرده بود، کل جنگل سوخت"	
6317	f˸اروگوئه§n-23514	f˸تعریف	f˸"کشور کوچکی واقع در جنوب شرقی آمریکای جنوبی، به پایتختی مونته‌ویدئو است"	
7030	f˸استثنا§n-11367	f˸مثال	f˸"همه ی افراد خانواده ی او تحصیل کرده اند تنها استثنا فرزند کوچک اوست"	
7257	f˸استرالیا§n-14265	f˸تعریف	f˸"کوچکترین قاره ی جهان"	
7549	f˸استکان§n-23530	f˸تعریف	f˸"ظرف کوچک معمولاً استوانه‌ای شیشیه‌ای یا بلوری برای نوشیدن چای"	
8008	f˸اسکیمو§n-20867	f˸تعریف	f˸"قوم بومی شمالگرد(شمال کانادا، آلاسکا، گروئنلند و خاور سیبری) دارای رنگ پوست قهوه‌ای روشن، صورت تخت و چشمان کوچک و تنگ"	
8952	f˸اغذیه فروشی§n-17020	f˸مثال	f˸"پدرش اغذیه فروشی کوچکی در مرکز شهر داشت"	
9245	f˸افسنتین§n-23556	f˸تعریف	f˸"گیاه علفی پایا از تیره‌ی مرکبان، با برگهای کرکدار خاکستری، گلهای کوچک زرد و میوه ی فندقه که کاربرد درویی دارد"	
9591	f˸اقیانوس منجمد شمالی§n-25461	f˸تعریف	f˸"کوچک‌ترین اقیانوس جهان،"	
9612	f˸اقیانوسیه§n-17070	f˸تعریف	f˸"کوچکترین قاره دنیا"	
10418	f˸اموال منقول§n-22808	f˸مثال	f˸"انواع کشتیهای کوچک و بزرگ و قایق ها و اسیاها و حمام های که در روی رودخانه و در یاها ساخته می شود و می توان آنها را حرکت داد جزو اموال منقول محسوب می‌شود"	
10448	f˸امپرسیونیسم§n-16621	f˸تعریف	f˸"مکتب ادبی و هنری که در اواخر قرن نوزدهم میلادی پدید آمد و هدف پیروانش بیان تاثیر کلی یک صحنه یا موضوع، با حذف جزئیات کوچک و پرداختهای پر شاخ و برگ است."	
11155	f˸اندازه بودن§v-16427	f˸تعریف	f˸"مناسب بودن از جهت بزرگی و کوچکی"	
11172	f˸اندازه§n-11239	f˸تعریف	f˸"مقدار یا درجه ی بزرگی یا کوچکی یا زیاد و کمی چیزی را گویند"	
12131	f˸اژدها§n-20744	f˸تعریف	f˸"@نجوم@ صورت فلکی در آسمان نیمکره‌ی شمالی، که سرش زیر پای جاثی و دمش میان خرس بزرگ و کوچک قرار دارد"	
12159	f˸اکالیپتوس§n-20022	f˸تعریف	f˸"درخت پایا از تیره‌ی اناریان، دارای رشد سریع، بومی نواحی استرالیا که گونه‌های مختلف آن به شکل درختان تناور تا بوته‌های کوچک دیده می‌شود، دارای برگهای متقابل نیزه‌ای معطر و میوه‌های ریز"	
12166	f˸اکاپی§n-22133	f˸تعریف	f˸"جانور پستاندار علفخوار از تیره‌ی زرافگان، بسیار شبیه زرافه، اما کوچکتر و دارای گردن کوتاهتر، که در ناحیه‌ی رود کنگو در آفریقا یافت می‌شود و بسیار گریزپاست"	
12226	f˸اکثریت§n-14642	f˸تعریف	f˸"گروهی از نمایندگان مجلس که با گروه کوچکتر یا اقلیت مجلس موافق نیستند"	
13289	f˸بادامه مغز§n-25147	f˸تعریف	f˸"بادامه مغز یا آمیگدالا، سازه کوچک و بادام شکلی در سیستم لیمبیک است که در اعماق قسمت پسین و پایین لوب گیجگاهی مغز قرار گرفته‌است"	
13294	f˸بادامی شکلان§n-17322	f˸تعریف	f˸"@جانورشناسی@ شاخه‌ای از جانوران پریاخته‌ی دریایی به صورت کرم‌های کوچک خاکستری یا زردرنگ با بدن باریک بادامی شکل قابل انقباض و شاخک‌های تو خالی کوتاه در پیرامون دهان"	
13619	f˸باربیکیو§n-17429	f˸مثال	f˸"پدر با مصالح باقی‌مانده از بنایی، باربیکیوی کوچکی در حیات ساخته بود"	
14663	f˸باغچه§n-24453	f˸مثال	f˸"باغچه‌ی حیاط کوچک است"	
14664	f˸باغچه§n-24453	f˸تعریف	f˸"زمین کوچکی در یک محوطه، که برای کشت گل و درخت و سبزی آماده می‌شود"	
15094	f˸بانتام§n-24510	f˸تعریف	f˸"بانتام نژدای کوچک ازمرغ است"	
15319	f˸باکلان§n-24484	f˸مثال	f˸"از گونه‌های بومی ایران می‌توان به باکلان گلوسیاه و باکلان کوچک اشاره کرد"	
15347	f˸بایت§n-25538	f˸تعریف	f˸"کوچکترین گروه واحد اطلاعاتی در کامپیوتر، معمولاً شامل 8 بیت که متناظر با یک حرف عدد یا نماد است و ظرفیت حافظه کامپیوتر را با آن می سنجند"	
15393	f˸ببری§n-17932	f˸تعریف	f˸"جانور پستاندار از تیره‌ی گربه‌سانان، بومی قاره‌ی آمریکا که بسیار شبیه ببر کوچک است"	
15709	f˸بخشودنی§a-22429	f˸مثال	f˸"خطای کوچک او بخشودنی بود"	
16063	f˸بدمینتن§n-17957	f˸تعریف	f˸"ورزش دو یا چهارنفری با راکتهای دسته‌بلند و توپهایی شبیه زنبیل بسیار کوچک"	
16401	f˸برادر کوچک#n1	f˸عضو هم‌نشیم	f˸برادر کوچک§n-14092	
16401	f˸برادر کوچک#n1	f˸عضو هم‌نشیم	f˸برادر کوچک§n-14092	
16402	f˸برادر کوچک§n-14092	f˸مرتبط با	f˸عمر§n-12915	
16403	f˸برادر کوچک§n-14092	f˸ISA	f˸برادر§n-14090	
16404	f˸برادر کوچک§n-14092	f˸مثال	f˸"برادر کوچک او خیلی به مادرشان وابسته است"	
16404	f˸برادر کوچک§n-14092	f˸مثال	f˸"برادر کوچک او خیلی به مادرشان وابسته است"	
16405	f˸برادر کوچک§n-14092	f˸تعریف	f˸"برادری که از فرد کم سن و سالتر باشد"	
16959	f˸برشتوک§n-17757	f˸تعریف	f˸"شیرینی ایرانی، از آرد سرخ شده در روغن، خاکه قند و هل کوبیده، که آن را به صورت قطعه های کوچک می برند."	
17337	f˸برونئی§n-23716	f˸مثال	f˸"در سده نوزدهم سلاطین برونئی بخش کوچکی از قلمرو پیشینشان را تحت حکومت داشتند"	
17424	f˸برچاکنای§n-20816	f˸مثال	f˸"زبان کوچک در نرمکام قرار دارد"	
17425	f˸برچاکنای§n-20816	f˸تعریف	f˸"زبانه ای (قطعه گوشت کوچکی) که در انتهای کام آویزان است و مانع ورود غذا به نای می شود"	
17465	f˸برکه§n-20068	f˸مثال	f˸"برکه کوچکی در کنار مزرعه بود که در آن آبتنی می کرد"	
18485	f˸بلدرچین§n-20280	f˸مثال	f˸"بلدرچین کوچک و بازیگوش است"	
18486	f˸بلدرچین§n-20280	f˸تعریف	f˸"پرنده از راسته ماکیانسانان، دارای صدای بلند، منقار کوچک ضخیم و خمیده، بالهای کوتاه و گرد، ساقهای ضخیم و پاهای قوی"	
18533	f˸بلم§n-11114	f˸تعریف	f˸"قایقی کوچک برای حرکت بر روی آب که دارای پارو است"	
18608	f˸بلندمرتبه‌ساز§a-18456	f˸تعریف	f˸"ویژگی آن که یا آنچه بناهای مسکونی کوچک و تقریباً ارزان قیمت می سازد"	
18721	f˸بلوک§n-11875	f˸تعریف	f˸"کوچکترین قطعه ی شهر که ساختمانهای داخل آن بین معابر محصور باشد"	
18740	f˸بلیت§n-17753	f˸تعریف	f˸"برگه چاپی کوچکی که یک بنگاه خدمات عمومی (مانند راه آهن؛ هواپیمایی؛ اتوبوسرانی؛ تماشاخانه؛ سینما؛...) به مشتریان خود می فروشد تا بتوانند از آن خدمات بهره گیرند."	
19078	f˸بنفشه§n-25331	f˸تعریف	f˸"تیره‌ای از گیاهان گلدار جدا گلبرگ، به صورت بوته های تزیینی کوچک و پایا، با چندین گونه گلهای نا منظم کوچک"	
19078	f˸بنفشه§n-25331	f˸تعریف	f˸"تیره‌ای از گیاهان گلدار جدا گلبرگ، به صورت بوته های تزیینی کوچک و پایا، با چندین گونه گلهای نا منظم کوچک"	
